gid,role,role_score,cluster_id,priority_score,evidence,depth,is_seed,in_deg,out_deg,in_tx,out_tx,in_tiyn,in_kzt,out_tiyn,out_kzt,pagerank,pass_through,truncated_by_depth,self_transfer_tiyn,self_transfer_kzt,self_transfer_n_tx,betweenness,betweenness_mode,betweenness_sources,betweenness_percentile,n_peers,external_communities,largest_in_tiyn,largest_in_share,largest_out_tiyn,largest_out_share,temporal_matched_tiyn,same_day_uncertain_tiyn,temporal_outgoing_tiyn,temporal_matched_kzt,temporal_matched_out_share,same_day_uncertain_kzt,same_day_uncertain_out_share,temporal_unmatched_out_share,seed_inflow_incomplete,depth_outflow_incomplete,observation_completeness,turnover_tiyn,turnover_kzt,operation_count,role_score_uncapped,role_score_cap,role_facts,priority_turnover_tiyn,priority_betweenness,priority_pagerank,priority_n_peers,priority_operation_count
100000000011452100,consolidator,0.769066,0,0.593495,Гипотеза сбора: входов=3; вход=110000.00 KZT; выход/вход=0.152; крупнейший вход=68%,1,False,3,1,7,2,11000000,110000.0,1668500,16685.0,0.0004768640252326482,0.1516818181818182,False,0,0.0,0,3.368496473580486e-06,exact,2248,0.169449081803005,3,1,7500000,0.6818181818181818,1668500,1.0,1668500,0,1668500,16685.0,1.0,0.0,0.0,0.0,False,False,sample_only,12668500,126685.0,9,0.769066,1.0,"{""betweenness"": 3.368496473580486e-06, ""betweenness_percentile"": 0.169449081803005, ""depth"": 1, ""external_communities"": 1, ""in_deg"": 3, ""in_tiyn"": 11000000, ""is_seed"": false, ""largest_in_tiyn"": 7500000, ""largest_out_tiyn"": 1668500, ""n_peers"": 3, ""observation_completeness"": ""sample_only"", ""out_deg"": 1, ""out_tiyn"": 1668500, ""rule_id"": ""consolidation"", ""same_day_uncertain_out_share"": 0.0, ""same_day_uncertain_tiyn"": 0, ""score_cap"": 1.0, ""score_uncapped"": 0.769066, ""self_transfer_n_tx"": 0, ""self_transfer_tiyn"": 0, ""temporal_matched_out_share"": 1.0, ""temporal_matched_tiyn"": 1668500, ""temporal_outgoing_tiyn"": 1668500, ""truncated_by_depth"": false, ""turnover_tiyn"": 12668500, ""window_days"": 7}",0.1858681022880215,0.04236227045075125,0.15154777927321672,0.12439434724091519,0.08932256617317183
100000000018102100,peripheral,0.2,0,0.194157,"Входов=1, вход=7000.00 KZT; выход=0; глубина=4: обход обрезан, роль неизвестна",4,False,1,0,1,0,700000,7000.0,0,0.0,0.0003204029472448961,0.0,True,0,0.0,0,0.0,exact,2248,0.0,1,0,700000,1.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,True,depth_outflows_incomplete,700000,7000.0,1,0.2,1.0,"{""betweenness"": 0.0, ""betweenness_percentile"": 0.0, ""depth"": 4, ""external_communities"": 0, ""in_deg"": 1, ""in_tiyn"": 700000, ""is_seed"": false, ""largest_in_tiyn"": 700000, ""largest_out_tiyn"": 0, ""n_peers"": 1, ""observation_completeness"": ""depth_outflows_incomplete"", ""out_deg"": 0, ""out_tiyn"": 0, ""rule_id"": ""depth_boundary"", ""same_day_uncertain_out_share"": 0.0, ""same_day_uncertain_tiyn"": 0, ""score_cap"": 1.0, ""score_uncapped"": 0.2, ""self_transfer_n_tx"": 0, ""self_transfer_tiyn"": 0, ""temporal_matched_out_share"": 0.0, ""temporal_matched_tiyn"": 0, ""temporal_outgoing_tiyn"": 0, ""truncated_by_depth"": true, ""turnover_tiyn"": 700000, ""window_days"": 7}",0.011305518169582772,0.0,0.10820995962314939,0.04835127860026918,0.02628981606101391
100000000031787100,transit,0.783333,1,0.551934,"Гипотеза транзита: вход=90000.00, выход=90000.00 KZT; FIFO 1–7д=67%; тот же день=?0%; те же деньги не установлены",2,False,1,2,2,4,9000000,90000.0,9000000,90000.0,0.0004315356304853241,1.0,False,0,0.0,0,3.962937027741748e-07,exact,2248,0.030884808013355594,2,0,9000000,1.0,6000000,0.6666666666666666,6000000,0,9000000,60000.0,0.6666666666666666,0.0,0.0,0.3333333333333333,False,False,sample_only,18000000,180000.0,6,0.783333,1.0,"{""betweenness"": 3.962937027741748e-07, ""betweenness_percentile"": 0.030884808013355594, ""depth"": 2, ""external_communities"": 0, ""in_deg"": 1, ""in_tiyn"": 9000000, ""is_seed"": false, ""largest_in_tiyn"": 9000000, ""largest_out_tiyn"": 6000000, ""n_peers"": 2, ""observation_completeness"": ""sample_only"", ""out_deg"": 2, ""out_tiyn"": 9000000, ""rule_id"": ""dated_amount_transit"", ""same_day_uncertain_out_share"": 0.0, ""same_day_uncertain_tiyn"": 0, ""score_cap"": 1.0, ""score_uncapped"": 0.783333, ""self_transfer_n_tx"": 0, ""self_transfer_tiyn"": 0, ""temporal_matched_out_share"": 0.6666666666666666, ""temporal_matched_tiyn"": 6000000, ""temporal_outgoing_tiyn"": 9000000, ""truncated_by_depth"": false, ""turnover_tiyn"": 18000000, ""window_days"": 7}",0.20578734858681022,0.0077212020033388985,0.14589502018842532,0.10773889636608346,0.0847913862718708
100000000041368100,terminal,0.59,2,0.378589,Наблюдаемый получатель: входов=1; вход=160000.00 KZT; выход=0; глубина=1; вне выборки операции неизвестны,1,False,1,0,1,0,16000000,160000.0,0,0.0,0.0003176071236192344,0.0,False,0,0.0,0,0.0,exact,2248,0.0,1,0,16000000,1.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,sample_only,16000000,160000.0,1,0.59,1.0,"{""betweenness"": 0.0, ""betweenness_percentile"": 0.0, ""depth"": 1, ""external_communities"": 0, ""in_deg"": 1, ""in_tiyn"": 16000000, ""is_seed"": false, ""largest_in_tiyn"": 16000000, ""largest_out_tiyn"": 0, ""n_peers"": 1, ""observation_completeness"": ""sample_only"", ""out_deg"": 0, ""out_tiyn"": 0, ""rule_id"": ""observed_terminal"", ""same_day_uncertain_out_share"": 0.0, ""same_day_uncertain_tiyn"": 0, ""score_cap"": 1.0, ""score_uncapped"": 0.59, ""self_transfer_n_tx"": 0, ""self_transfer_tiyn"": 0, ""temporal_matched_out_share"": 0.0, ""temporal_matched_tiyn"": 0, ""temporal_outgoing_tiyn"": 0, ""truncated_by_depth"": false, ""turnover_tiyn"": 16000000, ""window_days"": 7}",0.1993270524899058,0.0,0.10462090623598026,0.04835127860026918,0.02628981606101391
100000000076451100,transit,0.727336,3,0.798257,"Гипотеза транзита: вход=87707.00, выход=58000.00 KZT; FIFO 1–7д=60%; тот же день=?0%; те же деньги не установлены",2,False,3,4,4,4,8770700,87707.0,5800000,58000.0,0.0013962008641423944,0.661292713238396,False,0,0.0,0,9.76863977338341e-05,exact,2248,0.7445742904841403,5,0,4270700,0.48692806731503757,3000000,0.5172413793103449,3500000,0,5800000,35000.0,0.603448275862069,0.0,0.0,0.39655172413793105,False,False,sample_only,14570700,145707.0,8,0.727336,1.0,"{""betweenness"": 9.76863977338341e-05, ""betweenness_percentile"": 0.7445742904841403, ""depth"": 2, ""external_communities"": 0, ""in_deg"": 3, ""in_tiyn"": 8770700, ""is_seed"": false, ""largest_in_tiyn"": 4270700, ""largest_out_tiyn"": 3000000, ""n_peers"": 5, ""observation_completeness"": ""sample_only"", ""out_deg"": 4, ""out_tiyn"": 5800000, ""rule_id"": ""dated_amount_transit"", ""same_day_uncertain_out_share"": 0.0, ""same_day_uncertain_tiyn"": 0, ""score_cap"": 1.0, ""score_uncapped"": 0.727336, ""self_transfer_n_tx"": 0, ""self_transfer_tiyn"": 0, ""temporal_matched_out_share"": 0.603448275862069, ""temporal_matched_tiyn"": 3500000, ""temporal_outgoing_tiyn"": 5800000, ""truncated_by_depth"": false, ""turnover_tiyn"": 14570700, ""window_days"": 7}",0.19205921938088827,0.18614357262103506,0.1942575145805294,0.13748317631224766,0.08831314490803051
100000000089154100,distributor,0.870106,0,0.692919,"Гипотеза распределения: входов=1, получателей=15; выход=425500.00 KZT; крупнейший выход=20%; источник неизвестен",1,False,1,15,1,21,1000000,10000.0,42550000,425500.0,0.0002874458184490932,42.55,False,0,0.0,0,0.00010895478461069692,exact,2248,0.7529215358931552,15,5,1000000,1.0,8480000,0.19929494712103407,0,1000000,42550000,0.0,0.0,10000.0,0.023501762632197415,0.9764982373678026,False,False,sample_only,43550000,435500.0,22,0.870106,1.0,"{""betweenness"": 0.00010895478461069692, ""betweenness_percentile"": 0.7529215358931552, ""depth"": 1, ""external_communities"": 5, ""in_deg"": 1, ""in_tiyn"": 1000000, ""is_seed"": false, ""largest_in_tiyn"": 1000000, ""largest_out_tiyn"": 8480000, ""n_peers"": 15, ""observation_completeness"": ""sample_only"", ""out_deg"": 15, ""out_tiyn"": 42550000, ""rule_id"": ""distribution"", ""same_day_uncertain_out_share"": 0.023501762632197415, ""same_day_uncertain_tiyn"": 1000000, ""score_cap"": 1.0, ""score_uncapped"": 0.870106, ""self_transfer_n_tx"": 0, ""self_transfer_tiyn"": 0, ""temporal_matched_out_share"": 0.0, ""temporal_matched_tiyn"": 0, ""temporal_outgoing_tiyn"": 42550000, ""truncated_by_depth"": false, ""turnover_tiyn"": 43550000, ""window_days"": 7}",0.2504710632570659,0.1882303839732888,0.010677433826828175,0.14683714670255718,0.09670255720053836
100000000190228100,peripheral,0.55,4,0.557079,"Мало связей: входов=1, выходов=1; FIFO 1–7д=0%; тот же день=?0%; иные правила не выполнены",2,False,1,1,1,1,500000,5000.0,2856000,28560.0,0.0005820068181865648,5.712,False,0,0.0,0,2.159800680119253e-05,exact,2248,0.46160267111853087,2,0,500000,1.0,2856000,1.0,0,0,2856000,0.0,0.0,0.0,0.0,1.0,False,False,sample_only,3356000,33560.0,2,0.55,1.0,"{""betweenness"": 2.159800680119253e-05, ""betweenness_percentile"": 0.46160267111853087, ""depth"": 2, ""external_communities"": 0, ""in_deg"": 1, ""in_tiyn"": 500000, ""is_seed"": false, ""largest_in_tiyn"": 500000, ""largest_out_tiyn"": 2856000, ""n_peers"": 2, ""observation_completeness"": ""sample_only"", ""out_deg"": 1, ""out_tiyn"": 2856000, ""rule_id"": ""fallback"", ""same_day_uncertain_out_share"": 0.0, ""same_day_uncertain_tiyn"": 0, ""score_cap"": 1.0, ""score_uncapped"": 0.55, ""self_transfer_n_tx"": 0, ""self_transfer_tiyn"": 0, ""temporal_matched_out_share"": 0.0, ""temporal_matched_tiyn"": 0, ""temporal_outgoing_tiyn"": 2856000, ""truncated_by_depth"": false, ""turnover_tiyn"": 3356000, ""window_days"": 7}",0.09865410497981157,0.11540066777963272,0.1746971736204576,0.10773889636608346,0.06058770749214895
100000000201868100,transit,0.9,5,0.543416,"Гипотеза транзита: вход=190000.00, выход=190000.00 KZT; FIFO 1–7д=100%; тот же день=?0%; те же деньги не установлены",2,False,1,1,1,1,19000000,190000.0,19000000,190000.0,0.0009746432509228606,1.0,False,0,0.0,0,0.0,exact,2248,0.0,1,0,19000000,1.0,19000000,1.0,19000000,0,19000000,190000.0,1.0,0.0,0.0,0.0,False,False,sample_only,38000000,380000.0,2,0.9,1.0,"{""betweenness"": 0.0, ""betweenness_percentile"": 0.0, ""depth"": 2, ""external_communities"": 0, ""in_deg"": 1, ""in_tiyn"": 19000000, ""is_seed"": false, ""largest_in_tiyn"": 19000000, ""largest_out_tiyn"": 19000000, ""n_peers"": 1, ""observation_completeness"": ""sample_only"", ""out_deg"": 1, ""out_tiyn"": 19000000, ""rule_id"": ""dated_amount_transit"", ""same_day_uncertain_out_share"": 0.0, ""same_day_uncertain_tiyn"": 0, ""score_cap"": 1.0, ""score_uncapped"": 0.9, ""self_transfer_n_tx"": 0, ""self_transfer_tiyn"": 0, ""temporal_matched_out_share"": 1.0, ""temporal_matched_tiyn"": 19000000, ""temporal_outgoing_tiyn"": 19000000, ""truncated_by_depth"": false, ""turnover_tiyn"": 38000000, ""window_days"": 7}",0.24461641991924626,0.0,0.18986092418124723,0.04835127860026918,0.06058770749214895
100000000254336100,peripheral,0.3,0,0.511524,"Роль неоднозначна: входов=2, выходов=1; FIFO 1–7д=100%; тот же день=?0%; иные правила не выполнены",3,False,2,1,2,1,9717700,97177.0,6000000,60000.0,0.0002919351427687482,0.6174300503205491,False,0,0.0,0,1.922024458454748e-05,exact,2248,0.2871452420701169,3,0,6958800,0.7160953723617729,6000000,1.0,6000000,0,6000000,60000.0,1.0,0.0,0.0,0.0,False,False,sample_only,15717700,157177.0,3,0.3,1.0,"{""betweenness"": 1.922024458454748e-05, ""betweenness_percentile"": 0.2871452420701169, ""depth"": 3, ""external_communities"": 0, ""in_deg"": 2, ""in_tiyn"": 9717700, ""is_seed"": false, ""largest_in_tiyn"": 6958800, ""largest_out_tiyn"": 6000000, ""n_peers"": 3, ""observation_completeness"": ""sample_only"", ""out_deg"": 1, ""out_tiyn"": 6000000, ""rule_id"": ""fallback"", ""same_day_uncertain_out_share"": 0.0, ""same_day_uncertain_tiyn"": 0, ""score_cap"": 1.0, ""score_uncapped"": 0.3, ""self_transfer_n_tx"": 0, ""self_transfer_tiyn"": 0, ""temporal_matched_out_share"": 1.0, ""temporal_matched_tiyn"": 6000000, ""temporal_outgoing_tiyn"": 6000000, ""truncated_by_depth"": false, ""turnover_tiyn"": 15717700, ""window_days"": 7}",0.19865410497981156,0.07178631051752922,0.044235082996859576,0.12439434724091519,0.0724540152534769
100000000267734100,distributor,0.792128,1,0.697834,"Гипотеза распределения: входов=2, получателей=7; выход=282000.00 KZT; крупнейший выход=32%; источник неизвестен",1,False,2,7,4,8,18000000,180000.0,28200000,282000.0,0.0005373190777888428,1.5666666666666667,False,0,0.0,0,3.5666433249675733e-06,exact,2248,0.17195325542570952,8,0,12000000,0.6666666666666666,9000000,0.3191489361702128,2700000,1300000,28200000,27000.0,0.09574468085106383,13000.0,0.04609929078014184,0.8581560283687943,False,False,sample_only,46200000,462000.0,12,0.792128,1.0,"{""betweenness"": 3.5666433249675733e-06, ""betweenness_percentile"": 0.17195325542570952, ""depth"": 1, ""external_communities"": 0, ""in_deg"": 2, ""in_tiyn"": 18000000, ""is_seed"": false, ""largest_in_tiyn"": 12000000, ""largest_out_tiyn"": 9000000, ""n_peers"": 8, ""observation_completeness"": ""sample_only"", ""out_deg"": 7, ""out_tiyn"": 28200000, ""rule_id"": ""distribution"", ""same_day_uncertain_out_share"": 0.04609929078014184, ""same_day_uncertain_tiyn"": 1300000, ""score_cap"": 1.0, ""score_uncapped"": 0.792128, ""self_transfer_n_tx"": 0, ""self_transfer_tiyn"": 0, ""temporal_matched_out_share"": 0.09574468085106383, ""temporal_matched_tiyn"": 2700000, ""temporal_outgoing_tiyn"": 28200000, ""truncated_by_depth"": false, ""turnover_tiyn"": 46200000, ""window_days"": 7}",0.25464333781965004,0.04298831385642738,0.16455809780170483,0.14333781965006728,0.09230596680125618
